NOTE_KEY,NOTE_NAME,NOTE_AUX,NOTE_LABEL,NOTE_TYPE
journals/tc/Niznik84,Correction: IEEE Transactions on Computers 33(8): 772 (1984),,,
journals/tc/ZuckerHR77a,see pp. 394-403 this volume,,,
journals/tc/KleemanC86,Comments: IEEE Transactions on Computers 38(5): 750-753 (1989),,,
journals/tc/SnyersT86,Comments: IEEE Transactions on Computers 38(6): 880-881 (1989),,,
journals/tc/Ramachandran86,Correction: IEEE Transactions on Computer 35(9): 851 (1986),,,
journals/tc/JanO93,Corrections: IEEE Transactions on Computers 43(9): 1120 (1994),,,
journals/scp/ChandyS95,Erratum: Science of Computer Programming 29(3): 335 (1997),,,
journals/scp/Dijkstra82,Errata: Science of Computer Programming 2(1): 85 (1982),,,
journals/scp/HankinH94,Erratum: Science of Computer Programming 23(1): 103 (1994),,,
journals/tmi/PanK02,10.1109/TMI.2002.801180,,,doi
journals/spe/Bernstein85,correction: SPE 24: 233 (February 1994),,,
journals/spe/KannanP94,see: SPE 15: 1021-1024 (October 1985),,,
journals/spe/SreeramaFS97,Corrections: SP&E 27(4): 496 (1997),,,
journals/spe/Fenwick94,corrections: SPE 24(7): 677 (July 1994),,,
journals/spe/ChenRR94,preliminary version: ICLP 1992: 639-653,,,
journals/spe/ScheiflerG90,reprinted from: TOG 5(2): 79-109 (1986),,,
journals/ai/MackworthF85,Erratum: Artificial Intelligence 26(2): 247 (1985),,,
journals/ai/Konolige88,Errata: Artificial Intelligence 41(1): 115 (1989),,,
journals/ai/Imielinski87,Erratum: Artificial Intelligence 33(3): 413 (1987),,,
journals/ai/Hajek93,Errata: Artificial Intelligence 65(1): 191 (1994),,,
journals/ai/Patel-Schneider89a,Errata: Artificial Intelligence 39(3): 399 (1989),,,
journals/ai/Freksa92,Erratum: Artificial Intelligence 88(1-2): 387 (1996),,,
journals/ai/Shostak76,Corrigendum: Artificial Intelligence 7(3): 283 (1976),,,
journals/ai/Haussler88,Corrigendum: Artificial Intelligence 45(2): 265 (1990),,,
journals/ai/Korf85,Erratum: Artificial Intelligence 28(1): 123 (1986),,,
journals/cacm/Hoare74,Corrigendum: CACM 18(2): 95 (1975),,,
journals/cacm/Shell71,Corrigendum: CACM 15(1): 28 (1972),,,
journals/cacm/Fagin76,Corrigendum: CACM 19(4): 187 (1976),,,
journals/cacm/BaskettS76,Corrigendum: CACM 19(11): 623 (1976),,,
journals/cacm/ChuO76,Corrigendum: CACM 19(9): 529 (1976),,,
journals/cacm/Nejmeh88,Corrigendum: CACM 31(5): 550 (1988),,,
journals/cacm/Gries77,Corrigendum: CACM 21(12): 1048,,,
journals/cacm/Cotton75,Corrigendum: CACM 18(10): 591 (1975),,,
journals/cacm/Traub60,see: Commun. ACM 2(11): 23-24 (1959),,,
journals/cacm/Stefik85,Corrigendum: CACM 28(8): 788 (1985),,,
journals/cacm/DenningS72,Corrigendum: CACM 16(2): 122 (1972),,,
journals/cacm/WykLT89,Corridendum: CACM 32(8): 1024 (1989),,,
journals/cacm/LiangB83,Corrigendum: CACM 27(2): 151 (1984) and CACM 27(4): 383 (1984),,,
journals/cacm/PechuraS83,Corrigendum: CACM 27(1): 52 (1984),,,
journals/cacm/NielsenS87,Corrigendum: CACM 30(12): 1073 (1987),,,
journals/cacm/DalalM78,Corrigendum: CACM 22(5): 289 (1979),,,
journals/cacm/Cook59,see: Commun. ACM 2(4): 17-19 (1959),,,
journals/cacm/HillisS86,Update: CACM 30(1): 78 (1987),,,
journals/cacm/Hoare78,Corrigendum: CACM 21(11): 958,,,
journals/cacm/FloresM71,Corrigendum: CACM 15(2): 113 (1972),,,
journals/cacm/Sedgewick78,Corrigendum: CACM 22(6): 368 (1979),,,
journals/cacm/Greenwald59,Corrigendum: CACM 3(2): 75 (1960),,,
journals/cacm/HoareHJMRSSSS87,Corrigendum: CACM 30(9): 770 (1987),,,
journals/cacm/Frenkel87a,Corrigendum: CACM 30(12): 1073 (1987),,,
journals/cacm/Krogh74,Errata: CACM 17(10): 591 (1974),,,
journals/cacm/GordonH71,Corrigendum: CACM 15(2): 113 (1972),,,
journals/cacm/Brelaz79,Correction: Commun. ACM 26(8): 595-597 (1983),,,
journals/cacm/Peterson86,Corridendum: CACM 29(9): 922 (1986),,,
journals/cacm/Kemerer87,Corrigendum: CACM 30(9): 770 (1987),,,
journals/cacm/JamesP73,Corrigendum: CACM 16(11): 676,,,
journals/cacm/SeveranceD76,Corrigendum: CACM 19(9): 529 (1976),,,
journals/cacm/VaucherD75,Corrigendum: CACM 18(8): 462 (1975),,,
journals/cacm/Young74,Corrigendum: CACM 18(2): 95 (1975),,,
journals/cacm/Hanani77,Comments: Commun. ACM 22(10): 549-550 and 550-553(1979),,,
journals/cacm/Wersan59,Corrigendum: CACM 2(10): 39 (1959),,,
journals/cacm/Nielsen90,Corrigendum: CACM 33(6): 676 (1990),,,
journals/cacm/Austing77,Corrigendum: CACM 21(2): 134 (1978),,,
journals/cacm/AhrensD72,Corrigendum: CACM 15(12): 1047 (1972),,,
journals/cacm/DenningG73,Erratum: CACM 17(8): 455,,,
journals/cacm/GrahamW75,Complete paper: J. ACM 23(1): 172-202 (1976),,,
journals/cacm/Todd75,Corrigendum: CACM 18(8): 462 (1975),,,
journals/cacm/SchneiderW77,Corrigendum: Commun. ACM 20(10): 761(1977),,,
journals/cacm/Samet83,Corrigendum: CACM 27(2): 151 (1984),,,
journals/cacm/HermanLL78,Corrigendum: CACM 21(10): 872,,,
journals/cacm/Press89a,Corrigendum: CACM 33(2): 119 (1990),,,
journals/cacm/AndersonA79,Corrigendum: CACM 22(10): 553 (1979),,,
journals/cacm/Mills75,Corrigemdum: CACM 18(5): 280 (1975),,,
journals/cacm/Peemoller83,see: Commun. ACM 22(4): 251-256 (1979),,,
journals/cacm/Steele75,Corrigendum: CACM 19(6): 354 (1976),,,
journals/cacm/ShenP74,Corrigendum: CACM 18(4): 202 (1975),,,
journals/cacm/TuckerF71,Corrigendum: CACM 15(2): 96 (1972),,,
journals/cacm/Rabin77,Corrigendum: CACM 21(3): 231 (1978),,,
journals/cacm/GuoH89,Corrigendum: CACM 32(6): 759 (1989),,,
journals/cacm/Sluis75,Corrigendum: CACM 18(3): 180 (1975),,,
journals/cacm/Eppinger83,Corrigendum: CACM 27(3): 235 (1984),,,
journals/cacm/TaulbeeC77,Corrigendum: Commun. ACM 20(8): 602(1977),,,
journals/cacm/Paton71,Corrigendum: CACM 14(9): 592 (1971),,,
journals/cacm/Kautz58,Correction: CACM 1(8): 6-7 (1958),,,
journals/cacm/Courtois75,Corrigendum: CACM 20(2): 99 (1977),,,
journals/cacm/SreenivasanK74,Errata: CACM 17(10): 591 (1974),,,
journals/cacm/Ling80,Corrigendum: CACM 23(9): 528 (1980),,,
journals/cacm/SauterGJDR83,Corrigendum: CACM 26(8): 597 (1983),,,
journals/cacm/MikunasS73,Correction: CACM 17(2): 112 (1974),,,
journals/cacm/Billard81,Corrigendum: CACM 25(3): 213 (1982),,,
journals/cacm/Hehner84a,Corrigendum: CACM 27(6): 593 (1984),,,
journals/cacm/Ershov72,Corrigendum: CACM 15(10): 913 (1972),,,
journals/cacm/Laird79,see: Commun. ACM 20(5): 344-347 (1977),,,
journals/cacm/Stockhausen73,Errata: CACM 17(10): 591 (1974),,,
journals/cacm/Knuth84,Corrigendum: CACM 27(6): 593 (1984),,,
journals/jfp/GomardJ91,Erratum: Journal of Functional Programming 1(3): 373 (1991),,,
journals/ipl/Grant77,Addendum: IPL 6(6): 228 (1977),,,
journals/ipl/Rittri95,see: Inf. Process. Lett. 52(2): 61-68 (1994),,,
journals/ipl/Kral72a,see: Inf. Process. Lett. 1(4): 164-167(1972),,,
journals/ipl/LuCW94a,see: Inf. Process. Lett. 51(3): 117-120(1994),,,
journals/ipl/BarsiP95,Addendum: Inf. Process. Lett. 56(2): 121 (1995),,,
journals/ipl/Rittri94,Corrigendum: Inf. Process. Lett. 53(4): 235(1995),,,
journals/ipl/Brown78,Addendum: Information Processing Letters 8(3): 154-156 (1979),,,
