CDROM_KEY,CDROM_NAME
conf/icde/SpoonerMF86,ICDE86/P416.pdf
conf/icde/CzejdoRE87,ICDE87/P477.pdf
conf/icde/LangOKT98,ICDE98/P599.pdf
conf/icde/AgrawalBGS91,ICDE91/P446.pdf
conf/icde/Jajodia87,ICDE87/P412.pdf
conf/icde/MatsumotoST84,ICDE84/P342.pdf
conf/icde/StonebrakerO93,ICDE93/P355.pdf
conf/icde/JagadishMR98,ICDE98/P424.pdf
conf/icde/BelfordLHHKKKLMNNQRYZ86,ICDE86/P144.pdf
conf/icde/LandauST93,ICDE93/P319.pdf
conf/icde/IwaiharaFK91,ICDE91/P181.pdf
conf/icde/ElmasriW90,ICDE90/P076.pdf
conf/icde/ColletCFR97,ICDE97/P581.pdf
conf/icde/YuenD86,ICDE86/P116.pdf
conf/icde/GottemukkalaOR96,ICDE96/P352.pdf
conf/icde/Medina-MoraC96,ICDE96/P288.pdf
conf/icde/ZimmerU99,DiSC2_1/out/papers/icde/00710392.pdf
conf/icde/OlkenR93,ICDE93/P199.pdf
conf/icde/ElmagarmidSL86,ICDE86/P556.pdf
conf/icde/ChangMZS98,ICDE98/P542.pdf
conf/icde/LiC99,DiSC2_1/out/papers/icde/00710384.pdf
conf/icde/KaferS92,ICDE92/P348.pdf
conf/icde/KamathR93,ICDE93/P587.pdf
conf/icde/Stary93,ICDE93/P662.pdf
conf/icde/AhadB91,ICDE91/P550.pdf
conf/icde/Mohan91,ICDE91/P718.pdf
conf/icde/Pilote89,ICDE89/P172.pdf
conf/icde/WonE96,ICDE96/P085.pdf
conf/icde/Rowe89,ICDE89/P410.pdf
conf/icde/ChakravarthyKTB95,ICDE95/P341.pdf
conf/icde/SeshadriS95,ICDE95/P420.pdf
conf/icde/Ruoff84,ICDE84/P408.pdf
conf/icde/BoberC92,ICDE92/P535.pdf
conf/icde/BanerjeeKK88,ICDE88/P031.pdf
conf/icde/PengK95,ICDE95/P333.pdf
conf/icde/HeilerZ90,ICDE90/P086.pdf
conf/icde/Kuranaga84,ICDE84/P020.pdf
conf/icde/SalemBL92,ICDE92/P030.pdf
conf/icde/KiyokiKKM91,ICDE91/P220.pdf
conf/icde/Thomasian92,ICDE92/P518.pdf
conf/icde/RohmB99,DiSC2_1/out/papers/icde/00710238.pdf
conf/icde/OConnellCL99,DiSC2_1/out/papers/icde/00710304.pdf
