EDITOR_KEY,EDITOR_NAME,EDITOR_AUX,EDITOR_ORCID
reference/sp/2015ci,Janusz Kacprzyk,,
reference/sp/2015ci,Witold Pedrycz,,
reference/sp/2011semweb,John Domingue,,
reference/sp/2011semweb,Dieter Fensel,,
reference/sp/2011semweb,James A. Hendler,,
reference/sp/2013hc,Pietro Michelucci,,0000-0002-9819-7221
reference/vision/2014,Katsushi Ikeuchi,,
reference/parallel/2011,David A. Padua,,
reference/wiley/2008,Benjamin W. Wah,,
reference/ethics/2007,Marian Quigley,,
reference/dbsec/2008,Michael Gertz,,
reference/dbsec/2008,Sushil Jajodia,,
reference/se/2010,Phillip A. Laplante,,
reference/assisted/2012,Juan Carlos Augusto,,
reference/assisted/2012,Michael Huch,,
reference/assisted/2012,Achilles Kameas,,
reference/assisted/2012,Julie Maitland,,
reference/assisted/2012,Paul J. McCullagh,,
reference/assisted/2012,Jean Roberts,,
reference/assisted/2012,Andrew Sixsmith,,
reference/assisted/2012,Reiner Wichert,,
reference/mm/2008,Borko Furht,,
reference/mm/2006,Borko Furht,,
reference/bio/2009,Stan Z. Li,,
reference/bio/2009,Anil K. Jain,,
reference/bio/2015,Stan Z. Li,,
reference/bio/2015,Anil K. Jain,,
reference/snam/2014,Reda Alhajj,,
reference/snam/2014,Jon G. Rokne,,
reference/docip/2014,David S. Doermann,,
reference/docip/2014,Karl Tombre,,
reference/mediated/2008,Sigrid Kelsey,,0000-0002-7897-0520
reference/mediated/2008,Kirk St. Amant,,
reference/stat/2011,Miodrag Lovric,,
reference/social/2010,Borko Furht,,
reference/ubiqhandbook/2008,Max Mühlhäuser,,0000-0003-4713-5327
reference/ubiqhandbook/2008,Iryna Gurevych,,
reference/robo/2008,Bruno Siciliano,,
reference/robo/2008,Oussama Khatib,,
reference/robo/2016,Bruno Siciliano,,
reference/robo/2016,Oussama Khatib,,
reference/ml/2017,Claude Sammut,,
reference/ml/2017,Geoffrey I. Webb,,
reference/ml/2010,Claude Sammut,,
reference/ml/2010,Geoffrey I. Webb,,
reference/npe/2011,Demetres D. Kouvatsos,,
reference/db/2009,Ling Liu,,
reference/db/2009,M. Tamer Özsu,,0000-0002-8126-1717
reference/complexity/2009,Robert A. Meyers,,
books/acm/Kim95,Won Kim,,
books/crc/cvn2016,Anna Maria Vegni,,
books/crc/cvn2016,Dharma P. Agrawal,,
books/crc/L2015,Jay Liebowitz,,
books/crc/bigdata2015,Kuan-Ching Li,,
books/crc/bigdata2015,Hai Jiang,,
books/crc/bigdata2015,Laurence T. Yang,,
books/crc/bigdata2015,Alfredo Cuzzocrea,,
books/crc/Compiler07,Y. N. Srikant,,
books/crc/Compiler07,Priti Shankar,,
books/crc/dong2013,Guozhu Dong,,
books/crc/dong2013,James Bailey,,
books/crc/chb2014-1,Teofilo F. Gonzalez,,
books/crc/chb2014-1,Jorge Diaz-Herrera,,
books/crc/chb2014-1,,,
books/crc/asds2016,Luigia Petre,,
books/crc/asds2016,Emil Sekerinski,,
books/crc/zurawski2009-2,Richard Zurawski,,
books/crc/sakr2014,Sherif Sakr,,
books/crc/sakr2014,Mohamed Medhat Gaber,,0000-0003-0339-4474
books/crc/cloud2014,Kuan-Ching Li,,
books/crc/cloud2014,Qing Li,,
books/crc/cloud2014,Timothy K. Shih,,
books/crc/healthcare2015,Chandan K. Reddy,,
books/crc/healthcare2015,Charu C. Aggarwal,,
books/crc/Compiler02,Y. N. Srikant,,
books/crc/Compiler02,Priti Shankar,,
books/crc/aggarwal2013,Charu C. Aggarwal,,
books/crc/aggarwal2013,Chandan K. Reddy,,
books/crc/tucker1997,Allen B. Tucker,,
books/crc/chb2014-2,Heikki Topi,,
books/crc/chb2014-2,Allen Tucker,,
books/crc/mugc2014,Marie-Francine Moens,,
books/crc/mugc2014,Juanzi Li,,
books/crc/mugc2014,Tat-Seng Chua,,
books/crc/hbd2016,Peter Bühlmann,,
books/crc/hbd2016,Petros Drineas,,
books/crc/hbd2016,Michael Kane,,
books/crc/hbd2016,Mark J. van der Laan,,
books/crc/zurawski2009-1,Richard Zurawski,,
books/crc/linked2014,Andreas Harth,,
books/crc/linked2014,Katja Hose,,
books/crc/linked2014,Ralf Schenkel,,
books/crc/aggarwal2014,Charu C. Aggarwal,,
books/crc/IIR05,Richard Zurawski,,
books/mk/FreytagMV91,Johann Christoph Freytag,,
books/mk/FreytagMV91,David Maier,,
books/mk/FreytagMV91,Gottfried Vossen,,
books/mk/Minker88,Jack Minker,,
books/mk/BancilhonDK92,François Bancilhon,,
books/mk/BancilhonDK92,Claude Delobel,,
books/mk/BancilhonDK92,Paris C. Kanellakis,,
books/mk/Stonebraker88,Michael Stonebraker,,
books/mk/Stonebraker94,Michael Stonebraker,,
books/mk/Stonebraker98,Michael Stonebraker,,
books/mk/Stonebraker98,Joseph M. Hellerstein,,
books/mk/Gray93,Jim Gray,,
books/mk/FayyadGW2001,Usama M. Fayyad,,
books/mk/FayyadGW2001,Georges G. Grinstein,,
books/mk/FayyadGW2001,Andreas Wierse,,
books/mk/Cattell97,R. G. G. Cattell,,
books/mk/WidomC96,Jennifer Widom,,
books/mk/WidomC96,Stefano Ceri,,
books/mk/Gray91,Jim Gray,,
books/mk/Elmagarmid92,Ahmed K. Elmagarmid,,
books/mk/ZdonikM90,Stanley B. Zdonik,,
books/mk/ZdonikM90,David Maier,,
books/mk/SchillerV2004,Jochen H. Schiller,,
