PUBLISHER_KEY,PUBLISHER_NAME,PUBLISHER_HREF
books/crc/KatzLindell2007,Chapman and Hall/CRC Press,
books/crc/chb2014-2,CRC Press,
books/crc/mugc2014,Chapman and Hall/CRC,
books/crc/hbd2016,Chapman and Hall/CRC,
books/crc/zurawski2009-1,CRC Press,
books/crc/linked2014,Chapman and Hall/CRC,
books/crc/aggarwal2014,CRC Press,
books/crc/AU1992,Computer Science Press / W. H. Freeman,
books/crc/IIR05,CRC Press,
books/infix/Konig-Ries99,Infix Verlag St. Augustin Germany,
books/infix/Hasse96,Infix Verlag St. Augustin Germany,
books/infix/Latecki92,Infix Verlag St. Augustin Germany,
books/infix/Markl99,Infix Verlag St. Augustin Germany,
books/infix/Steinhage93,Infix Verlag St. Augustin Germany,
books/infix/Klotz93,Infix Verlag St. Augustin Germany,
books/infix/Schaad96,Infix,
books/infix/Gunter92,Infix Verlag St. Augustin Germany,
books/infix/Gunthor97,Infix Verlag St. Augustin Germany,
books/infix/Weik97,Infix,
books/infix/Walter96,Infix Verlag St. Augustin Germany,
books/infix/Ingenerf93,Infix Verlag St. Augustin Germany,
books/infix/Schwarz99,Infix Verlag St. Augustin Germany,
books/infix/Althoff93,Infix Verlag St. Augustin Germany,
books/infix/Wetzel96,Infix,
books/infix/Kottmann96,Infix Verlag St. Augustin Germany,
books/infix/Kaiser97,Infix Verlag St. Augustin Germany,
books/infix/Zhang92,Infix Verlag St. Augustin Germany,
books/infix/Rys98,Infix Verlag St. Augustin Germany,
books/infix/Argenton98,Infix Verlag St. Augustin Germany,
books/infix/Klettke98,Infix Verlag St. Augustin Germany,
books/infix/Schuhart2006,Aka Akademische Verlagsgesellschaft Aka GmbH Berlin,
books/infix/Strasser92,Infix Verlag St. Augustin Germany,
books/infix/Hartel97,Infix Verlag St. Augustin Germany,
books/infix/Rieche96,Infix Verlag St. Augustin Germany,
books/infix/Wiltfang99,Infix Verlag St. Augustin Germany,
books/infix/Frank97,Infix Verlag St. Augustin Germany,
