CITE_KEY,CITE_NAME,CITE_LABEL,CITE_REF
journals/tkde/WuYP97,journals/tse/YuD92,,
journals/tkde/WuYP97,journals/tkde/YuHD91,,
journals/tkde/WuYP97,...,,
journals/tkde/WuYP97,conf/ds/GrayLPT76,,
journals/tkde/WuYP97,journals/tods/Garcia-MolinaW82,,
journals/tkde/WuYP97,conf/vldb/DuE89,,
journals/tkde/WuYP97,conf/sigmod/KorthS88,,
journals/tkde/WuYP97,journals/tods/KrishnakumarB94,,
journals/tkde/WuYP97,conf/wmrd/ShethR90,,
journals/tkde/WuYP97,...,,
journals/tkde/WuYP97,...,,
journals/tkde/WuYP97,conf/icde/WiederholdQ87,,
journals/tkde/WuYP97,journals/tods/AlonsoBG90,,
journals/tkde/WuYP97,conf/wmrd/BarbaraG90,,
journals/tkde/WuYP97,conf/icde/WuYP92,,
journals/tkde/WuYP97,journals/dpd/PuHKWY95,,
journals/tkde/WuYP97,conf/icdcs/SonK92,,
journals/tkde/WuYP97,conf/dasfaa/SonK93,,
journals/tkde/WuYP97,conf/icde/KamathR93,,
journals/tkde/HadzikadicB97,journals/ml/Fisher87,,
journals/tkde/HadzikadicB97,journals/ai/GennariLF89,,
journals/tkde/HadzikadicB97,...,,
journals/tkde/HadzikadicB97,...,,
journals/tkde/HadzikadicB97,...,,
journals/tkde/HadzikadicB97,...,,
journals/tkde/HadzikadicB97,conf/ijcai/HadzikadicY89,,
journals/tkde/HadzikadicB97,journals/ml/HansonB89,,
journals/tkde/HadzikadicB97,journals/ml/Langley87a,,
journals/tkde/HadzikadicB97,journals/ml/Lebowitz87,,
journals/tkde/HadzikadicB97,...,,
journals/tkde/HadzikadicB97,...,,
journals/tkde/HadzikadicB97,...,,
journals/tkde/HadzikadicB97,...,,
journals/tkde/LorentzosM97,...,,
journals/tkde/LorentzosM97,books/mg/CannanO93,,
journals/tkde/LorentzosM97,journals/sigmod/JensenCEGHJ94,,
journals/tkde/LorentzosM97,journals/tods/Ariav86,,
journals/tkde/LorentzosM97,conf/icde/CliffordC87,,
journals/tkde/LorentzosM97,journals/tods/Gadia88,,
journals/tkde/LorentzosM97,...,,
journals/tkde/LorentzosM97,books/bc/tanselCGSS93/NavatheA93,,
journals/tkde/LorentzosM97,journals/tkde/Sarda90,,
journals/tkde/LorentzosM97,books/kl/Snodgrass95,,
journals/tkde/LorentzosM97,journals/isci/Tansel91,,
journals/tkde/LorentzosM97,books/bc/tanselCGSS93/Lorentzos93,,
journals/tkde/LorentzosM97,...,,
journals/tkde/LorentzosM97,...,,
journals/tkde/LorentzosM97,journals/tods/Snodgrass87,,
journals/tkde/LorentzosM97,journals/gis/Al-TahaSS94,,
journals/tkde/LorentzosM97,journals/cacm/Codd70,,
journals/tkde/LorentzosM97,journals/dke/LorentzosPS95,,
journals/tkde/LorentzosM97,conf/tdb/LorentzosJ87,,
journals/tkde/LorentzosM97,conf/sigmod/DadamKABEGLPW86,,
journals/tkde/LorentzosM97,journals/tods/OzsoyogluOM87,,
journals/tkde/LorentzosM97,conf/sigmod/SegevS87,,
journals/tkde/LorentzosM97,journals/tods/CliffordC94,,
journals/tkde/LorentzosM97,journals/is/RothKB87,,
journals/tkde/LorentzosM97,...,,
journals/tkde/LorentzosM97,...,,
journals/tkde/LorentzosM97,journals/tkde/Lorentzos94,,
journals/tkde/LorentzosM97,journals/is/Lorentzos92,,
journals/tkde/LorentzosM97,journals/cj/LorentzosPS94,,
journals/tkde/LorentzosM97,conf/dexa/LorentzosM94,,
journals/tkde/LorentzosM97,...,,
journals/tkde/LorentzosM97,...,,
journals/tkde/ShenL96,books/aw/AhoHU74,,
journals/tkde/ShenL96,conf/kdd/AronisP94,,
journals/tkde/ShenL96,conf/ecai/Bisson92,,
journals/tkde/ShenL96,books/mit/fayyadPSU96/SimoudisLK96,,
journals/tkde/ShenL96,journals/ml/Fisher87,,
journals/tkde/ShenL96,conf/dood/FuH95,,
journals/tkde/ShenL96,...,,
journals/tkde/ShenL96,books/mit/fayyadPSU96/HanF96,,
journals/tkde/ShenL96,...,,
journals/tkde/ShenL96,...,,
journals/tkde/ShenL96,...,,
journals/tkde/ShenL96,...,,
journals/tkde/ShenL96,conf/dood/KeroRTS95,,
journals/tkde/ShenL96,journals/ml/KietzM94,,
journals/tkde/ShenL96,conf/kdd/LaerDR94,,
journals/tkde/ShenL96,journals/ml/PazzaniK92,,
journals/tkde/ShenL96,journals/jair/MooneyC95,,
journals/tkde/ShenL96,conf/alt/MuggletonF90,,
journals/tkde/ShenL96,books/cs/NaqviT89,,
journals/tkde/ShenL96,journals/ml/Quinlan90,,
journals/tkde/ShenL96,journals/ijcis/BrachmanSTAHKL93,,
journals/tkde/ShenL96,conf/kdd/BrachmanA94,,
journals/tkde/ShenL96,...,,
journals/tkde/ShenL96,...,,
journals/tkde/ShenL96,...,,
journals/tkde/ShenL96,conf/kdd/ShenMOZ94,,
journals/tkde/ShenL96,books/mit/fayyadPSU96/ShenOMZ96,,
journals/tkde/ShenL96,...,,
journals/tkde/ShenL96,...,,
journals/tkde/ShenL96,...,,
journals/tkde/ShenL96,journals/ml/Wrobel94,,
journals/tkde/ProperW95,journals/ai/Allen84,,
journals/tkde/ProperW95,conf/sigmod/BanerjeeKKK87,,
journals/tkde/ProperW95,books/aw/kimL89/BretlMOPSSWW89,,
journals/tkde/ProperW95,conf/dbpl/BruceW87,,
journals/tkde/ProperW95,journals/csur/CardelliW85,,
journals/tkde/ProperW95,journals/tods/Chen76,,
journals/tkde/ProperW95,conf/tdb/CliffordR87,,
journals/tkde/ProperW95,conf/caise/Troyer91,,
journals/tkde/ProperW95,journals/dke/EngelsGHHLSE92,,
journals/tkde/ProperW95,...,,
journals/tkde/ProperW95,conf/dexa/FalkenbergOP92,,
journals/tkde/ProperW95,...,,
journals/tkde/ProperW95,...,,
journals/tkde/ProperW95,conf/caise/HofstedePW92,,
journals/tkde/ProperW95,journals/is/HofstedePW93,,
journals/tkde/ProperW95,conf/dexa/HofstedePW94,,
journals/tkde/ProperW95,journals/dke/HofstedeW93,,
journals/tkde/ProperW95,journals/csur/Katz90,,
journals/tkde/ProperW95,books/aw/kimL89/KimBCGW89,,
journals/tkde/ProperW95,journals/cacm/McGregorK90a,,
journals/tkde/ProperW95,...,,
journals/tkde/ProperW95,journals/dke/NguyenR89,,
journals/tkde/ProperW95,...,,
journals/tkde/ProperW95,...,,
journals/tkde/ProperW95,conf/dbpl/Ohori87,,
journals/tkde/ProperW95,...,,
journals/tkde/ProperW95,...,,
journals/tkde/ProperW95,conf/adc/ProperW93,,
journals/tkde/ProperW95,...,,
journals/tkde/ProperW95,journals/dke/ProperW94,,
journals/tkde/ProperW95,journals/acj/Roddick91,,
journals/tkde/ProperW95,journals/is/RoddickP92,,
journals/tkde/ProperW95,conf/oopsla/SkarraZ86,,
journals/tkde/ProperW95,journals/sigmod/Snodgrass90,,
journals/tkde/ProperW95,conf/sigmod/SnodgrassA85,,
journals/tkde/ProperW95,conf/er/TreschS92,,
journals/tkde/ProperW95,conf/caise/WiederholdJL91,,
journals/tkde/ProperW95,journals/acta/WijngaardenMPKSLMF75,,
journals/tkde/ProperW95,...,,
journals/tkde/BertinoBFS96,journals/toplas/AbadiBLP93,,
journals/tkde/BertinoBFS96,conf/pods/BaudinetNW91,,
journals/tkde/BertinoBFS96,...,,
journals/tkde/BertinoBFS96,conf/ccs/BertinoBS94,,
journals/tkde/BertinoBFS96,conf/ccs/BertinoSJ93,,
journals/tkde/BertinoBFS96,conf/vldb/CeriW91,,
journals/tkde/BertinoBFS96,conf/iclp/GelfondL88,,
journals/tkde/BertinoBFS96,conf/sigmod/GuptaMS93,,
journals/tkde/BertinoBFS96,...,,
journals/tkde/BertinoBFS96,conf/usenix/SteinerNS88,,
journals/tkde/BertinoBFS96,...,,
journals/tkde/BertinoBFS96,journals/jacm/GelderRS91,,
journals/tkde/BertinoBFS96,journals/csec/WooL93,,
journals/tkde/LimSS96,journals/tkde/DeMichiel89,,
journals/tkde/LimSS96,...,,
journals/tkde/LimSS96,journals/sigmod/ChatterjeeS91,,
journals/tkde/LimSS96,...,,
journals/tkde/LimSS96,journals/tse/LarsonNE89,,
journals/tkde/LimSS96,conf/icde/LimSPR93,,
journals/tkde/LimSS96,journals/computer/LitwinA86,,
journals/tkde/LimSS96,journals/dpd/TsengCY93,,
journals/tkde/LimSS96,conf/icde/Lee92,,
journals/tkde/LimSS96,...,,
journals/tkde/LimSS96,...,,
journals/tkde/LimSS96,conf/vldb/Dayal83,,
journals/tkde/LimSS96,journals/tkde/BarbaraGP92,,
journals/tkde/LimSS96,...,,
journals/tkde/LimSS96,...,,
journals/tkde/LimSS96,journals/computer/Zadeh88,,
journals/tkde/LimSS96,journals/tkde/Takahashi93,,
journals/tkde/LimSS96,...,,
journals/tkde/AgrawalS93,...,,
journals/tkde/AgrawalS93,journals/dc/AgrawalBGS87,,
journals/tkde/AgrawalS93,journals/csur/BernsteinG81,,
journals/tkde/AgrawalS93,journals/tods/BernsteinG83,,
journals/tkde/AgrawalS93,conf/podc/BernsteinG83,,
journals/tkde/AgrawalS93,books/aw/BernsteinHG87,,
journals/tkde/AgrawalS93,conf/sigmod/ChanFLNR82,,
journals/tkde/AgrawalS93,journals/tse/ChanG85,,
journals/tkde/AgrawalS93,journals/cacm/EswarranGLT76,,
journals/tkde/AgrawalS93,journals/tods/Garcia-MolinaW82,,
journals/tkde/AgrawalS93,conf/sosp/Gifford79,,
journals/tkde/AgrawalS93,conf/ac/Gray78,,
journals/tkde/AgrawalS93,journals/ins/HeddayaHW89,,
journals/tkde/AgrawalS93,journals/tocs/Herlihy86,,
journals/tkde/AgrawalS93,journals/tods/KungR81,,
journals/tkde/AgrawalS93,journals/jacm/Papadimitriou79b,,
journals/tkde/AgrawalS93,...,,
journals/tkde/AgrawalS93,...,,
journals/tkde/AgrawalS93,conf/sigmod/StearnsR81,,
journals/tkde/AgrawalS93,journals/tods/Thomas79,,
journals/tkde/AgrawalS93,journals/tse/Weihl87,,
journals/tkde/AgrawalS93,conf/podc/WuuB84,,
journals/tkde/Bergadano93,conf/sigmod/BancilhonR86,,
journals/tkde/Bergadano93,books/mit/PF91/BergadanoGSBM91,,
journals/tkde/Bergadano93,...,,
journals/tkde/Bergadano93,journals/ml/Bergadanoa92,,
journals/tkde/Bergadano93,books/mit/PF91/CaiCH91,,
journals/tkde/Bergadano93,journals/tkde/CeriGT89,,
journals/tkde/Bergadano93,...,,
journals/tkde/Bergadano93,...,,
journals/tkde/Bergadano93,books/sp/Lloyd84,,
journals/tkde/Bergadano93,journals/ai/Michalski83,,
journals/tkde/Bergadano93,journals/cacm/GrantM92,,
journals/tkde/Bergadano93,books/mk/Minker88,,
journals/tkde/Bergadano93,...,,
journals/tkde/Bergadano93,conf/alt/MuggletonF90,,
journals/tkde/Bergadano93,conf/icml/PazzaniBS91,,
journals/tkde/Bergadano93,books/mit/PiatetskyF91,,
journals/tkde/Bergadano93,journals/ml/Quinlan90,,
journals/tkde/Bergadano93,journals/ai/RaedtB92,,
journals/tkde/Bergadano93,conf/icml/RichardsM91,,
journals/tkde/Bergadano93,...,,
journals/tkde/Bergadano93,books/cs/Ullman89,,
journals/tkde/Bergadano93,journals/tkde/Yasdi91,,
journals/tkde/Bergadano93,journals/tkde/YounKHH92,,
journals/tkde/Bergadano93,conf/eds/Zaniolo86,,
journals/tkde/LehmanSC92,...,,
journals/tkde/LehmanSC92,journals/tods/AstrahanBCEGGKLMMPTWW76,,
journals/tkde/LehmanSC92,conf/vldb/BittonDT83,,
journals/tkde/LehmanSC92,conf/icde/BittonHT87,,
