BOOK_KEY,LAST_MDATE,PUBLTYPE,CDATE,TITLE,BOOKTITLE,PAGES,YEAR,VOLUME,MONTH,URL,CDROM,NOTE,SERIES,SCHOOL
series/aikp/TanKL05,2017-05-16,,,Multiobjective Evolutionary Algorithms and Applications.,,1-271,2005,,,,,,Advanced Information and Knowledge Processing,
series/aikp/CamastraV08,2017-05-16,,,Machine Learning for Audio Image and Video Analysis - Theory and Applications.,,1-494,2008,,,,,,Advanced Information and Knowledge Processing,
series/aikp/Nguyen08,2017-05-16,,,Advanced Methods for Inconsistent Knowledge Management.,,1-351,2008,,,,,,Advanced Information and Knowledge Processing,
series/aikp/LakeD14,2017-05-16,,,Information Systems Management in the Big Data Era,,1-288,2014,,,,,,Advanced Information and Knowledge Processing,
series/aikp/WangF05,2017-05-16,,,Data Mining with Computational Intelligence.,,1-248,2005,,,,,,Advanced Information and Knowledge Processing,
series/aikp/Gomez-PerezFC04,2017-05-16,,,Ontological Engineering: With Examples from the Areas of Knowledge Management e-Commerce and the Semantic Web.,,1-362,2004,,,,,,Advanced Information and Knowledge Processing,
series/aikp/MarwalaL11,2017-05-16,,,Militarized Conflict Modeling Using Computational Intelligence.,,1-254,2011,,,,,,Advanced Information and Knowledge Processing,
series/aikp/MohammadN15,2017-05-16,,,Data Mining for Social Robotics - Toward Autonomously Social Robots,,1-323,2015,,,,,,Advanced Information and Knowledge Processing,
series/aikp/Zarri09,2017-05-16,,,Representation and Management of Narrative Information - Theoretical Principles and Implementation.,,1-301,2009,,,,,,Advanced Information and Knowledge Processing,
series/aikp/MentzasAAY03,2017-05-16,,,Knowledge Asset Management - Beyond the Process-centred and Product-centred Approaches.,,1-195,2003,,,,,,Advanced Information and Knowledge Processing,
series/synthesis/2006Bushyager,2017-05-16,,,MRTD (Multi Resolution Time Domain) Method in Electromagnetics,MRTD Method in Electromagnetics,1-116,2006,,,,,,Synthesis Lectures on Computational Electromagnetics,
series/synthesis/2011Lanzagorta,2017-05-16,,,Quantum Radar,Quantum Radar,,2011,,,,,,Synthesis Lectures on Quantum Computing,
series/synthesis/2008Simon,2017-05-16,,,An Introduction to Multivariable Mathematics,An Introduction to Multivariable Mathematics,,2009,,,,,,Synthesis Lectures on Mathematics & Statistics,
series/synthesis/2008Pelechano,2017-06-14,,,Virtual Crowds: Methods Simulation and Control,Virtual Crowds: Methods Simulation and Control,,2008,,,,,,Synthesis Lectures on Computer Graphics and Animation,
series/synthesis/2009Wong,2017-05-16,,,Introduction to Chinese Natural Language Processing,Introduction to Chinese Natural Language Processing,,2009,,,,,,Synthesis Lectures on Human Language Technologies,
series/synthesis/2016Graefe,2017-05-16,,,Instant Recovery with Write-Ahead Logging: Page Repair System Restart Media Restore and System Failover Second Edition,,1-113,2016,,,,,,Synthesis Lectures on Data Management,
series/synthesis/2012Barrett,2017-05-16,,,Arduino Microcontroller: Processing for Everyone! Second Edition,Arduino Microcontroller: Processing for Everyone! Second Edition,,2012,,,,,,Synthesis Lectures on Digital Circuits and Systems,
series/synthesis/2016Kallmann,2017-05-16,,,Geometric and Discrete Path Planning for Interactive Virtual Worlds,Geometric and Discrete Path Planning for Interactive Virtual Worlds,,2016,,,,,,Synthesis Lectures on Visual Computing,
series/synthesis/2006Kehtarnavaz,2017-05-16,,,Real-Time Image and Video Processing: From Research to Reality,Real-Time Image and Video Processing: From Research to Reality,,2006,,,,,,Synthesis Lectures on Image Video and Multimedia Processing,
series/synthesis/2016De,2017-05-16,,,Privacy Risk Analysis,Privacy Risk Analysis,1-133,2016,,,,,,Synthesis Lectures on Information Security Privacy & Trust,
series/synthesis/2011Ilyas,2017-06-14,,,Probabilistic Ranking Techniques in Relational Databases,Probabilistic Ranking Techniques in Relational Databases,,2011,,,,,,Synthesis Lectures on Data Management,
series/synthesis/2010Carmel,2017-06-14,,,Estimating the Query Difficulty for Information Retrieval,Estimating the Query Difficulty for Information Retrieval,,2010,,,,,,Synthesis Lectures on Information Concepts Retrieval and Services,
series/synthesis/2008Kantartzis2,2017-06-14,,,Modern EMC Analysis Techniques Volume II: Models and Applications,Modern EMC Analysis Techniques Volume II,1-238,2008,,,,,,Synthesis Lectures on Computational Electromagnetics,
series/synthesis/2010Tranter,2017-05-16,,,Basic Simulation Models of Phase Tracking Devices Using MATLAB,Basic Simulation Models of Phase Tracking Devices Using MATLAB,1-136,2010,,,,,,Synthesis Lectures on Communications,
series/synthesis/2010Marchionini,2017-05-16,,,Information Concepts: From Books to Cyberspace Identities,Information Concepts: From Books to Cyberspace Identities,,2010,,,,,,Synthesis Lectures on Information Concepts Retrieval and Services,
